2017-03-28 10:30:27.606 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-03-28 10:30:27.623 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78f180d9, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@37426497, org.springframework.test.context.support.DirtiesContextTestExecutionListener@67da11d8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1dc9b12c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@248ecefb]
2017-03-28 10:30:27.724 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [C:\Users\Administrator\IdeaProjects\MaiZhong\Manager\Manager_Controller\target\classes\spring\spring-dao.xml]
2017-03-28 10:30:27.866 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [C:\Users\Administrator\IdeaProjects\MaiZhong\Manager\Manager_Controller\target\classes\spring\spring-jedis.xml]
2017-03-28 10:30:27.909 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [C:\Users\Administrator\IdeaProjects\MaiZhong\Manager\Manager_Controller\target\classes\spring\spring-service.xml]
2017-03-28 10:30:28.091 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [C:\Users\Administrator\IdeaProjects\MaiZhong\Manager\Manager_Controller\target\classes\spring\spring-shiro.xml]
2017-03-28 10:30:28.128 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@5fee77ef: startup date [Tue Mar 28 10:30:28 CST 2017]; root of context hierarchy
2017-03-28 10:30:28.388 [main] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\MaiZhong\Manager\Manager_Controller\target\classes\resource\db.properties]
2017-03-28 10:30:28.389 [main] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\MaiZhong\Manager\Manager_Controller\target\classes\resource\resource.properties]
2017-03-28 10:30:28.483 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-28 10:30:29.542 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-03-28 10:30:29.542 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [class com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
