2017-03-22 10:24:21.853 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-03-22 10:24:21.945 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Mar 22 10:24:21 CST 2017]; root of context hierarchy
2017-03-22 10:24:21.989 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-03-22 10:24:22.344 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from URL [file:/C:/Users/Xushd/IdeaProjects/MaiZhong/Portal/target/classes/resource/resource.properties]
2017-03-22 10:24:22.351 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-22 10:24:22.411 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 555 ms
2017-03-22 10:24:22.482 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'maizhong-portal': initialization started
2017-03-22 10:24:22.485 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 10:24:22 CST 2017]; parent: Root WebApplicationContext
2017-03-22 10:24:22.486 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring_mvc.xml]
2017-03-22 10:24:22.719 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-22 10:24:22.886 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/doPhoneLink],methods=[POST]}" onto public com.maizhong.common.result.JsonResult com.maizhong.portal.controller.ActionController.doPhoneLink(java.lang.String)
2017-03-22 10:24:22.888 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.index(org.springframework.ui.Model)
2017-03-22 10:24:22.888 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/help]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.help(org.springframework.ui.Model)
2017-03-22 10:24:22.888 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/feedback]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.feedback(org.springframework.ui.Model)
2017-03-22 10:24:22.888 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sale]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.sale(org.springframework.ui.Model)
2017-03-22 10:24:22.888 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news.html]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.news(java.lang.Long)
2017-03-22 10:24:22.888 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/joinus]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.joinus(org.springframework.ui.Model)
2017-03-22 10:24:22.888 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/about]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.about(org.springframework.ui.Model)
2017-03-22 10:24:22.888 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/feedback/post]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.feedbackForm(com.maizhong.pojo.TbFeedback,org.springframework.validation.BindingResult,org.springframework.ui.Model)
2017-03-22 10:24:22.889 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/search/]}" onto public java.lang.String com.maizhong.portal.controller.SearchController.searchIndex(com.maizhong.common.dto.PageSearchParam,org.springframework.ui.Model)
2017-03-22 10:24:22.889 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/to/{url}]}" onto public java.lang.String com.maizhong.portal.controller.TestController.test(java.lang.String)
2017-03-22 10:24:22.889 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/test]}" onto public com.maizhong.common.result.JsonResult com.maizhong.portal.controller.TestController.test()
2017-03-22 10:24:22.952 [localhost-startStop-1] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.1.1.Final
2017-03-22 10:24:23.452 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 10:24:22 CST 2017]; parent: Root WebApplicationContext
2017-03-22 10:24:23.508 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 10:24:22 CST 2017]; parent: Root WebApplicationContext
2017-03-22 10:24:23.634 [localhost-startStop-1] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-03-22 10:24:23.673 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'maizhong-portal': initialization completed in 1191 ms
2017-03-22 14:20:48.250 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-03-22 14:20:48.361 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Mar 22 14:20:48 CST 2017]; root of context hierarchy
2017-03-22 14:20:48.411 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-03-22 14:20:48.840 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from URL [file:/C:/Users/Xushd/IdeaProjects/MaiZhong/Portal/target/classes/resource/resource.properties]
2017-03-22 14:20:48.848 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-22 14:20:48.897 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 644 ms
2017-03-22 14:20:48.962 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'maizhong-portal': initialization started
2017-03-22 14:20:48.965 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 14:20:48 CST 2017]; parent: Root WebApplicationContext
2017-03-22 14:20:48.966 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring_mvc.xml]
2017-03-22 14:20:49.170 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-22 14:20:49.349 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/doPhoneLink],methods=[POST]}" onto public com.maizhong.common.result.JsonResult com.maizhong.portal.controller.ActionController.doPhoneLink(java.lang.String)
2017-03-22 14:20:49.351 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.index(org.springframework.ui.Model)
2017-03-22 14:20:49.351 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/help]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.help(org.springframework.ui.Model)
2017-03-22 14:20:49.351 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/about]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.about(org.springframework.ui.Model)
2017-03-22 14:20:49.351 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/joinus]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.joinus(org.springframework.ui.Model)
2017-03-22 14:20:49.351 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/feedback/post]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.feedbackForm(com.maizhong.pojo.TbFeedback,org.springframework.validation.BindingResult,org.springframework.ui.Model)
2017-03-22 14:20:49.351 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news.html]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.news(java.lang.Long)
2017-03-22 14:20:49.351 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sale]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.sale(org.springframework.ui.Model)
2017-03-22 14:20:49.351 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/feedback]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.feedback(org.springframework.ui.Model)
2017-03-22 14:20:49.352 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/search/]}" onto public java.lang.String com.maizhong.portal.controller.SearchController.searchIndex(com.maizhong.common.dto.PageSearchParam,org.springframework.ui.Model)
2017-03-22 14:20:49.352 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/to/{url}]}" onto public java.lang.String com.maizhong.portal.controller.TestController.test(java.lang.String)
2017-03-22 14:20:49.353 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/test]}" onto public com.maizhong.common.result.JsonResult com.maizhong.portal.controller.TestController.test()
2017-03-22 14:20:49.409 [localhost-startStop-1] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.1.1.Final
2017-03-22 14:20:49.870 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 14:20:48 CST 2017]; parent: Root WebApplicationContext
2017-03-22 14:20:49.934 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 14:20:48 CST 2017]; parent: Root WebApplicationContext
2017-03-22 14:20:50.043 [localhost-startStop-1] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-03-22 14:20:50.068 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'maizhong-portal': initialization completed in 1106 ms
2017-03-22 14:54:09.264 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-03-22 14:54:09.366 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Mar 22 14:54:09 CST 2017]; root of context hierarchy
2017-03-22 14:54:09.420 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-03-22 14:54:09.777 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from URL [file:/C:/Users/Xushd/IdeaProjects/MaiZhong/Portal/target/classes/resource/resource.properties]
2017-03-22 14:54:09.785 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-22 14:54:09.833 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 566 ms
2017-03-22 14:54:09.891 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'maizhong-portal': initialization started
2017-03-22 14:54:09.894 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 14:54:09 CST 2017]; parent: Root WebApplicationContext
2017-03-22 14:54:09.895 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring_mvc.xml]
2017-03-22 14:54:10.084 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-22 14:54:10.265 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/doPhoneLink],methods=[POST]}" onto public com.maizhong.common.result.JsonResult com.maizhong.portal.controller.ActionController.doPhoneLink(java.lang.String)
2017-03-22 14:54:10.266 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.index(org.springframework.ui.Model)
